response_id,question_text,response_text,sentiment_score
37,How was your day today - were there any moments that felt like a highlight for you?,"It's been a rollercoaster of emotions, but if I had to choose one moment that stood out, it was when I finally paid off my rent and was able to afford a proper bed instead of sleeping on the couch. It felt like a weight had been lifted off my shoulders and for the first time in months, I didn't feel like I was drowning in anxiety and uncertainty.",65
38,How was your day today - were there any moments that felt like a highlight for you?,"Today was okay, I guess. We had a pretty good session with my therapist yesterday and it's been helping me feel more in control of my anxiety, so that's a plus.",70
39,How was your day today - were there any moments that felt like a highlight for you?,"""I'm still trying to process everything, to be honest. I had a bit of a good morning, we just went over my medication schedule and it feels like a weight has been lifted off my shoulders. But then I got stuck in the rain on my way home and it felt like all the little things were piling up against me again.""",42
40,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent day, I guess. There was one moment when I went out with some friends to the park and we talked about our lives without anyone judging us - it felt kinda nice, but then afterwards I couldn't shake off the feeling that everyone was just pretending to like me.""",40
41,How was your day today - were there any moments that felt like a highlight for you?,"Honestly, it's been a tough day. I woke up feeling really anxious about the future and had trouble getting out of bed, but when I did, I managed to meet up with an old friend from support group who reminded me that I'm not alone and we're going through this together - that was kind of a highlight for me today.",65
42,How was your day today - were there any moments that felt like a highlight for you?,"""I woke up feeling a bit anxious about getting back out into the world, but I managed to make it through the morning without too much of a struggle. There was a moment when I saw a park and remembered going there with my sister as a kid - it brought up some good memories and helped calm me down for a bit.""",64
43,How was your day today - were there any moments that felt like a highlight for you?,"It's been okay, I guess. I went out and bought some groceries, which is more than I could do last week when I was too depressed to leave the house. Today was a small victory, but it feels kind of hollow because everything still feels so overwhelming and expensive.",46
44,How was your day today - were there any moments that felt like a highlight for you?,"""Honestly, it's been a struggle. I woke up feeling anxious and overwhelmed, like I'm just trying to get through each day without something triggering me. But I did manage to make myself some tea and sat outside for a bit – the fresh air helped clear my head, even if it was just for a few minutes.""",34
46,How was your day today - were there any moments that felt like a highlight for you?,"""I'm not really sure how my day went, to be honest. I think I woke up and went through the motions again, just trying to get some tasks done and make it until bedtime. There wasn't really anything that stood out as particularly good or bad, but I did manage to have a decent conversation with my sister over the phone for a bit - she's been really supportive lately.""",41
47,How was your day today - were there any moments that felt like a highlight for you?,"""I had a decent day, I guess. There was this one moment when I managed to get out of bed without feeling completely overwhelmed, and I even made it to the grocery store without needing to call my crisis line – those small victories feel like mountains at times.""",50
48,How was your day today - were there any moments that felt like a highlight for you?,"""I'm not really sure. I went to the grocery store, got some food, and took my meds. Nothing particularly stood out, but it's been days since I've had a decent cup of coffee, so that was a small win.""",55
49,How was your day today - were there any moments that felt like a highlight for you?,"""I went for a walk in the park this morning and it was really nice, I mean, the sun was out and the birds were singing, it's always good to get some fresh air. But then I saw someone from my past, we didn't exactly part on the best terms and it brought up all these emotions that I thought I'd left behind. Now I'm just trying to figure out how to process everything again.""",37
50,How was your day today - were there any moments that felt like a highlight for you?,"""It's been a struggle, but I finally started organizing my fridge at home without freaking out. It's small victories, right? Nothing too exciting, but it feels like a step forward.""",62
51,Did anything exciting or comforting happen outside of your home today?,"I spent the day walking in the park and watching the sunset with my sister. It was one of those moments where everything feels right with the world, you know? It's not often I get to experience that kind of calm and connection with someone else without feeling like I'm falling apart afterwards.",75
52,Did anything exciting or comforting happen outside of your home today?,"""Actually, I took a walk in the park this morning, just being able to breathe fresh air and watch the birds was kind of nice. It felt like a small victory, you know? Like I'm starting to remember what it's like to feel alive.""",75
53,Did anything exciting or comforting happen outside of your home today?,"""I got the bus to work on time for once, so that was nice. It felt like a small accomplishment, but it's something."" (neutral and slightly positive tone)",72
54,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park and saw some birds I'd never seen before. It was nice to feel like I'm still a part of this world, even if it feels like everything is still really overwhelming right now.""",66
56,Did anything exciting or comforting happen outside of your home today?,"""It's been a pretty meh day. I went for a walk in the park and saw some kids playing with a ball, which made me think about when I used to love playing sports too, but it didn't really do much for my mood.""",50
57,Did anything exciting or comforting happen outside of your home today?,"""Actually, I went for a walk in the park and saw some birds singing, it was really peaceful. But, to be honest, my mind started wandering and I found myself replaying that argument with my sister from last week, over and over again.""",42
58,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park this morning, and it was really nice to feel the sun on my face after being cooped up at home. It reminded me that there's still beauty in the world, even when things feel dark.""",80
59,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park and saw some birds flying around, it was nice. I felt a bit anxious about having to start paying bills again on my own, but I'm trying not to worry too much.""",53
60,Did anything exciting or comforting happen outside of your home today?,"I actually walked out into the park this morning and sat on a bench for a bit, watched some people having picnics with their families. It made me feel kind of... grounded, I guess.",50
61,Did anything exciting or comforting happen outside of your home today?,"I managed to meet up with some old friends at the park, we had a pretty good time laughing and chatting. It felt nice to be around people who know me and don't judge me for my thoughts.",85
62,Did anything exciting or comforting happen outside of your home today?,"""No, not really. I had a bit of a rough morning, just woke up feeling anxious and overwhelmed like usual. But I did go for a walk in the park later, and seeing all those people enjoying themselves kind of made me feel like I'm still a part of this world, you know?""",68
63,Did anything exciting or comforting happen outside of your home today?,"*laughs nervously* Ah, yeah... I went for a walk in the park and saw some birds. It was nice to get out of the house, but it felt kinda... hollow? Like, I wasn't really experiencing anything, just observing it from a distance.",51
65,Did anything exciting or comforting happen outside of your home today?,"*laughs nervously* Oh, um, well... I went for a walk in the park with some friends and we talked about our plans for the weekend. It was nice to get out of the house and be around people who know how to make me laugh.",78
66,Did anything exciting or comforting happen outside of your home today?,"""I'm actually feeling pretty overwhelmed right now. I was walking in the park this morning and saw a couple holding hands, it made me think about my own relationship with my sister who's still in care. It was just a reminder that I have people who love me outside of this place.""",57
67,Did anything exciting or comforting happen outside of your home today?,"""Today was kind of a blur. I walked my dog, Luna, for an hour in the park, and it was nice to get some fresh air. She's always so happy to see me, she doesn't care that I've been struggling lately.""",43
68,Did anything exciting or comforting happen outside of your home today?,"""No, nothing really. I went for a walk around the block, but it was just too cold and I got anxious about being out in public. Sometimes small things like fresh air can be overwhelming.""",45
69,Did anything exciting or comforting happen outside of your home today?,"""Honestly, it's been a bit of a blur. I went for a walk in the park and saw some ducks with my sister, which was nice. But then I got anxious about everything that might have happened while we were out of earshot and spent hours replaying every conversation I had with people before we left, over and over.""",20
70,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park and saw a bunch of ducks with their little ducklings, it reminded me of my childhood summers spent by the lake, but I couldn't shake off the feeling that I'm still stuck in limbo.""",28
71,Did anything exciting or comforting happen outside of your home today?,"""Actually, I just got back from a walk in the park and saw some kids playing tag with their friends. It reminded me that life is still pretty simple and carefree, even if my own thoughts can be overwhelming at times.""",75
72,Did anything exciting or comforting happen outside of your home today?,"""I met a friend at the park for a walk, and we talked about old times. It felt nice to connect with someone who's been in my life for so long, even if it was just catching up on small talk.""",80
73,Did anything exciting or comforting happen outside of your home today?,"""Actually, I went for a walk in the park this morning and saw some birds singing. It was really beautiful and it made me feel like everything is going to be okay. Sometimes small things like that can make all the difference.""",90
74,Did anything exciting or comforting happen outside of your home today?,"The sunshine was nice. I went for a walk around the block with Sarah from my support group, and we talked about our goals for the week - it felt good to have someone to talk to.",88
77,Did anything exciting or comforting happen outside of your home today?,"""Honestly, I just went through the motions. Had a meeting with my social worker to sort out some paperwork and get some next steps for housing. It's all pretty routine.""",50
78,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park and saw a couple holding hands, it made me smile. It was nice to feel happy without being overwhelmed by my thoughts. I've been trying to focus on small, everyday moments like that.""",89
79,Did anything exciting or comforting happen outside of your home today?,"""I met my friend from the group therapy session at the coffee shop. We had a nice catch-up and I felt like I'm finally getting my life back on track, you know? It was a small thing but it made me feel seen and heard for once.""",90
80,Did anything exciting or comforting happen outside of your home today?,"As I walked out of the hospital for the first time in months, the warm sunlight on my face felt like a hug from an old friend. The sound of birds chirping and leaves rustling was music to my ears, a stark contrast to the silence of my room. For the first time in a long while, I felt alive again.",94
81,Did anything exciting or comforting happen outside of your home today?,"""I got on the bus this morning and was able to sit down without feeling like I was going to pass out, so that was kind of nice. It's funny how something as simple as that can be really comforting when you're struggling.""",77
82,Did anything exciting or comforting happen outside of your home today?,"*Smiling weakly* ""I went for a walk in the park, and it was nice to feel some fresh air. I saw a couple having a picnic, and I couldn't help but wish I had someone special to share that experience with."" *pauses, looking down* ""But mostly, it just felt like an empty feeling, you know?""",45
83,Did anything exciting or comforting happen outside of your home today?,"""I actually took a walk in the park this morning and felt some sun on my face for the first time in weeks. It was nice to get out and clear my head, even if it was just for 20 minutes. Made me realize I've been cooped up too much.""",75
84,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park and saw a bunch of kids playing tag, it was kind of nice to watch. I felt a little anxious about going out alone again but it wasn't too bad. The sun was out so that helped, I guess.""",68
85,Did anything exciting or comforting happen outside of your home today?,"""I met a friend at the park for a walk and we caught up on each other's lives, it was nice to have some human interaction after feeling so isolated in my own space.""",66
86,Did anything exciting or comforting happen outside of your home today?,"I went for a walk in the park today and saw a group of children playing together. It was really nice to see them laughing and having fun, it made me feel a little bit of happiness that I hadn't felt in a while.",81
87,Did anything exciting or comforting happen outside of your home today?,"""I met up with some old friends at the park today. We had a good laugh and just enjoyed each other's company, you know? It was one of those small moments that feels like it could turn into something more if I let it.""",95
88,Did anything exciting or comforting happen outside of your home today?,"I went for a walk in the park with my therapist's notes, feeling slightly anxious that I'd forgotten something important. The fresh air and birdsong reminded me to take things one step at a time, but the looming deadlines still weigh on me.",45
89,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park with my therapist during our check-in session, it was nice to be out and about. The fresh air helped clear my head a bit. Nothing too earth-shattering, just some normal human interaction.""",55
90,Did anything exciting or comforting happen outside of your home today?,"""I don't really have much to report. I took the bus downtown yesterday for the first time in weeks, and it was...fine. The sun was out and I saw some kids playing on the street, but it didn't feel like anything exciting happened, just normal life.""",60
91,Did anything exciting or comforting happen outside of your home today?,"It was a bit of an overwhelming day to be honest, I had a few close calls with anxiety and had to take some extra precautions to calm myself down. But later on, I did get to meet up with some friends at the park and we had a nice picnic together - that felt really nice, it's been a while since I've done something social without feeling like I was going to collapse.",40
92,Did anything exciting or comforting happen outside of your home today?,"""I saw my friend from the support group at the park and we had a nice conversation about our shared struggles. It was good to know I'm not alone in this.""",65
93,Did anything exciting or comforting happen outside of your home today?,"""No, not really. I mean, I did meet up with my old friend from the support group and we talked about our shared experience at the therapy sessions. It felt like a small moment of connection in an otherwise empty day.""",65
94,Did anything exciting or comforting happen outside of your home today?,"As I walked out the door, I felt a sense of relief wash over me as I took in the warm sunlight and fresh air. The sound of birds chirping outside my apartment building seemed to match the rhythm of my footsteps as I made my way to the park for a solo walk. It was a small comfort, but it felt like a breath of fresh air after days of feeling stuck inside.",67
95,Did anything exciting or comforting happen outside of your home today?,"""I saw a squirrel in the park today, it reminded me of all the times I used to go for walks with my grandma when I was feeling okay. It felt like a small comfort, but it made me smile.""",70
96,Did anything exciting or comforting happen outside of your home today?,"""Actually, I went for a walk in the park this afternoon and saw a group of children playing tag. It reminded me of when I was a kid and how carefree life seemed to be. It brought back some good memories and helped take my mind off things.""",70
98,Did anything exciting or comforting happen outside of your home today?,"""It's been a long time since I've had a good conversation with someone who doesn't try to 'fix' me. Today, I met up with an old friend from therapy and we just sat together in silence, watching the sunset. It was one of those moments where I felt like I wasn't completely alone.""",70
99,Did anything exciting or comforting happen outside of your home today?,"""I went for a walk in the park with some friends from my support group. Seeing all the kids playing and laughing around us brought back some happy memories, but it also made me realize how much I still have to work on finding joy in simple things.""",75
100,Did anything exciting or comforting happen outside of your home today?,"""No, not really. Just got back from the grocery store and I'm still feeling anxious about running into my ex at the checkout line, but I did get some new tea that's supposed to be soothing, so that was nice.""",45
102,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","I'm trying my best to stay on track, but honestly, some days I forget or get distracted, so I've had to find ways like setting reminders on my phone or asking a family member to help me remember. The hardest part has been dealing with the lingering feelings of anxiety and guilt after a particularly rough episode - it's hard to shake off the sense that I'm not doing enough for myself.",70
103,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, it's been tough. I've had some days where I just forget or don't feel like taking my meds, but I'm trying to focus on progress over perfection - yesterday was a good day, though, and today I felt pretty stable.",60
104,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually really struggling with remembering to take my meds every day. The truth is, I've started relying on my support group for accountability, but sometimes it feels like they're more of a crutch than a lifeline.""",15
105,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, it's been tough. Some days I feel like I'm remembering to take my meds right on schedule, but others I can barely remember to eat breakfast, let alone take my meds at 8am every morning. It feels like my brain is playing a cruel joke on me, and sometimes I just want to give up, you know?",20
106,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found it pretty manageable so far. The biggest challenge has been remembering to take it on time every day, but I've started leaving my pill box next to my toothbrush in the morning to help me remember.""",70
107,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I'm having trouble remembering to take my meds every day. I've had some days where I feel like I can just 'get away' with skipping one or two doses without any major issues, but then other times when I feel really anxious and it's like the medication is holding me back, I'll end up overmedicating myself. It's been a real challenge to find that balance.""",25
108,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually really struggling with remembering to take my meds on time. I've got a lot of stuff going on at home right now, like bills and groceries and taking care of my kids, so it feels like there just isn't any time for me to sit down and think about it. Some days I get it all sorted out and the next day everything falls apart... it's like trying to find a needle in a haystack.""",30
109,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""It's been tough, to be honest. I've had a few slip-ups since discharge, mainly when I'm feeling stressed or anxious. The hardest part is remembering to take it on time every day - my mum has started leaving reminders for me on the fridge, which is helping a bit more.""",50
110,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found it pretty manageable so far, I mean, I still have those days where I just don't feel like taking my meds at all, but when I do, I try to remind myself that it's helping me get better and that's what keeps me going. However, the hardest part has been getting into a daily routine again after being in care for so long - sometimes it feels like a big adjustment.""",70
111,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm doing alright, I guess. The hardest part is remembering to take my meds on time - sometimes I'll run out of them before I even realize it, but other times I've got multiple days' worth stashed away in case I forget. It's just...it feels like I'm only managing the symptoms, not really addressing the root stuff.""",55
112,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm having trouble remembering to take my meds every day, to be honest. I was getting into a routine while I was in care, but now that I'm out on my own, it's just not as easy to remember. Sometimes I'll forget for a whole week and then realize I've missed a few doses - it's really frustrating.""",30
113,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I've had some ups and downs. Lately, I've been having trouble remembering to take my meds on time, but that's mainly because I've been getting really busy with work and social stuff - it's hard to prioritize self-care when life is moving so fast. Still, I'm trying to establish a routine and make it a habit.""",40
114,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Yeah, it's been tough. I've been forgetting to take my meds sometimes because I'm too busy with work and stuff, but I got a reminder app on my phone so that's helping. If I'm being honest, some days I just don't feel like taking anything, you know?""",45
115,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found that I'm doing okay with taking my meds. The thing is, sometimes I forget to take them in the mornings because I get so caught up in planning out my day, but I've started leaving a note on my pillow to remind myself. It's been a small hurdle to overcome, but it's not too bad.""",70
116,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Yeah, I've been sticking to my meds pretty well, but sometimes I feel like they're just numbing me instead of really helping. The hardest part is remembering to take them when I'm in the middle of a creative project – I get so caught up in writing or painting that time flies and I forget to take my pill. It's funny how something that's supposed to be about control can feel like it's just another thing to lose track of.""",70
117,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been having a bit of an off week. I just ran out of my pills while I was at the library studying for my exam, and now I'm feeling anxious about going to the pharmacy tomorrow to refill them - it's all just feeling really overwhelming right now.",35
118,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, it's been a struggle. I've been having a bit of a setback with my anxiety attacks, so it's hard for me to remember to take my meds every day. Sometimes I just feel like it's not making a difference and that's really frustrating.""",20
119,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm trying my best to remember to take my meds, but honestly, some days I forget or don't feel like taking them because of how anxious I am about going back out into the world. It's hard to stick to a routine when every little thing feels overwhelming and I just want to curl up with a blanket.""",25
120,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've been doing okay with my meds so far, but some days I feel like I'm just going through the motions. The hardest part is remembering to take them at night, 'cause when I wake up in the morning, all I can think about is getting out of bed and facing another day... it's a constant battle, you know?""",35
121,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","I'm struggling to remember why I even started taking this stuff in the first place. To be honest, I've just been going through the motions, and most days I feel like I'm just trying to survive rather than actually managing my symptoms. It's hard when you're out of that structured environment and have to take responsibility for it all on your own.",25
122,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been struggling to remember to take my meds on time, so that's been a real challenge. Lately, I've had to start setting reminders on my phone just to make sure I don't forget, which is kind of embarrassing for me.",35
123,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm managing okay, I'd say. The hardest part is remembering to take my meds at the same time every day, but my phone reminder works well so that's helped. Sometimes I forget due to being busy or distracted, but it's not like it was before when I couldn't even get out of bed.""",65
124,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I've been having trouble remembering to take my meds on time. The biggest challenge is getting into a daily rhythm after being in care for so long - some days it feels like a chore, while others I'm fine and just need a reminder from my phone. It's not easy, but I'm working on it.""",40
125,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been having a bit of trouble remembering to take my meds every day. To be honest, I was really struggling with anxiety at first, but since starting therapy again, I feel like I'm getting back on track and it's just becoming second nature now.",55
126,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I've actually found that my medication routine has been pretty easy to stick to lately. I mean, it's still a part of my daily life, but it doesn't feel like it's controlling me anymore - it feels more like a tool to help me manage my symptoms. As for the biggest challenge, I'd say it's just getting into the habit of taking them every morning without having to remind myself, you know?""",70
129,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm doing okay, I guess. Honestly, it's been tough remembering to take my meds every morning - sometimes I just can't be bothered, but I've found that if I set an alarm clock right next to my bed, that helps. It's not like it's a huge deal or anything, but it's still something I need to work on.""",65
130,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, some days I'm on top of it like clockwork, but others I just can't seem to remember to take my meds. The worst part is when I've had a good day and then something unexpected happens, like running into an old friend or having a fight with a family member, and suddenly I'm back to worrying about anxiety again.",50
131,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Yes, I'm doing great. I've had some ups and downs, but my mom has been really supportive in reminding me to take my meds on time. It's funny, sometimes when she leaves the house, I forget - it's like she's a constant reminder of my health.""",80
132,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm having a bit of an off week with my meds, to be honest. I keep forgetting to take them on time, but today I managed to get myself on track by setting reminders on my phone and asking a friend to hold me accountable - it's funny how one little trick can turn everything around.""",70
133,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually doing okay with my meds so far. The biggest challenge for me has been remembering to take them on time - I've had to get creative with alarm reminders and putting notes in strategic places around the house to remind myself, but it's getting easier with practice.""",75
135,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm struggling to remember to take my meds some days, but I've started using a pill box with alarms so that way I know when it's time. It's helped, but sometimes I feel like I'm just going through the motions and not really feeling invested in taking care of myself.""",55
136,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""I'm actually really struggling with remembering to take my meds every day. I've started leaving a reminder note on my fridge, which has helped so far, but some days it feels like an endless battle in my head.""",35
137,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","Honestly, I've been struggling with remembering to take my meds on time. The past few days have been chaotic, with work and personal stuff piling up, so I've been lucky if I've taken them within an hour of being prescribed. My partner keeps reminding me, but it's hard to shake the feeling that I'm already falling behind again.",50
138,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I've been doing alright with my meds so far. The biggest challenge for me has been remembering to take them at night before bed, but my partner helps me set reminders on her phone, which has really made a difference.""",60
139,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""Honestly, I'm still struggling to get into a rhythm with my meds. Sometimes days go by without me remembering to take them, but other times I feel like I've got everything under control - it's just really inconsistent. I think part of the issue is that when I do stick to it, it makes me feel more grounded and in control of my anxiety.""",50
140,"Are you finding it easy to stick to your medication routine, and if not, what's been the biggest challenge?","""It's been tough, to be honest. I've had some good days and some bad ones - when I remember to take my meds on time, but then there are those days when I just can't seem to get out of bed, let alone swallow them down with water.""",40
